CHILDID,DOBMM,DOBDD,DOBYY,GENDER,RACE,R1_KAGE,C1R4RSCL,C1R4MSCL,C5R4RSCL,C5R4MSCL,P1HMAFB,WKSESL,P1WICMOM,P1WICCHD
0708012C,9,3,1992,2,4,74.57,47.89,29.93,163.16,131.54,-1,-0.32,1,1
0708013C,12,26,1992,1,3,70.8,36.09,22.61,NA,NA,21,0.5,1,1
0708014C,10,28,1992,2,4,72.77,-1.0,18.84,NA,NA,NA,NA,NA,NA
0708015C,7,15,1993,1,3,64.07,-1.0,19.78,154.12,99.76,21,-0.08,2,2
0708017C,1,12,1993,2,4,70.2,23.17,18.75,123.78,78.47,23,0.83,2,2
0708018C,11,9,1992,2,3,72.37,32.08,20.63,105.59,86.34,19,0.01,2,2
0708019C,9,5,1992,1,3,74.5,34.05,25.43,153.38,107.02,-1,-0.62,-8,-8
0708020C,1,13,1993,2,4,70.17,-1.0,15.23,166.1,127.4,24,0.19,2,2
0708021C,3,21,1993,2,3,67.97,32.25,18.03,141.32,68.33,23,-0.26,1,1
0708023C,12,29,1992,1,4,70.7,34.05,32.69,126.79,131.36,-1,-1.5,1,1
0708024C,9,27,1992,2,4,73.8,22.58,18.02,124.29,82.42,24,-0.26,2,2
0710001C,10,10,1992,1,3,73.9,-1.0,33.14,NA,NA,29,-0.2,1,1
0710002C,10,12,1992,1,3,74.2,-1.0,16.83,NA,NA,17,-0.87,2,2
0710003C,8,10,1993,2,3,63.77,-1.0,16.27,NA,NA,18,-1.0,1,1
0710004C,5,5,1993,2,4,67.0,-1.0,13.06,73.8,76.1,18,-0.73,1,1
0710005C,9,20,1992,2,4,74.57,-1.0,20.73,169.88,130.28,19,-0.21,2,1
0710006C,8,22,1993,1,3,63.73,-1.0,13.78,NA,NA,17,-1.04,1,1
0710007C,12,16,1992,2,4,72.03,23.21,13.51,117.9,83.33,22,-0.96,1,1
0710008C,3,25,1993,1,4,68.73,-1.0,14.7,122.16,98.87,-1,-0.96,1,1
0710009C,7,25,1993,2,4,64.3,26.26,15.2,123.93,63.64,19,-0.42,1,1
0710010C,11,30,1992,1,2,72.57,26.28,16.73,NA,NA,16,-0.75,2,2
0710011C,9,24,1992,1,2,74.8,39.32,27.62,NA,NA,NA,0.06,NA,NA
0710012C,2,5,1993,2,2,-9.0,NA,NA,66.84,60.79,NA,NA,NA,NA
0710013C,2,11,1993,2,2,69.77,23.9,18.93,NA,NA,20,-0.36,1,1
0710014C,4,30,1993,1,2,67.17,26.42,17.03,NA,NA,16,0.2,2,2
0710015C,8,2,1993,1,4,64.03,30.62,20.78,158.76,121.39,20,-2.33,1,1
0710016C,10,9,1992,2,2,74.3,26.21,27.19,NA,NA,NA,-0.68,NA,NA
0710017C,4,1,1993,2,2,68.5,23.42,20.04,NA,NA,19,-0.87,1,1
0710018C,2,12,1993,2,2,69.73,23.56,16.43,NA,NA,16,-0.86,1,1
0710019C,1,17,1993,1,1,70.97,32.02,21.04,NA,NA,-1,-0.81,1,1
0710020C,7,24,1993,1,2,64.33,26.79,17.01,127.73,76.81,18,-0.21,1,1
0710021C,4,15,1993,2,2,67.67,34.21,17.73,104.24,59.31,16,-0.25,2,1
0710022C,6,6,1993,1,3,66.3,32.68,24.09,105.72,74.11,25,-0.84,1,1
0710023C,7,16,1993,2,2,64.6,25.87,17.89,NA,NA,NA,NA,NA,NA
0710024C,10,19,1992,1,2,73.97,26.99,21.28,NA,NA,20,-0.65,1,1
0710025C,2,5,1993,1,2,-9.0,NA,NA,103.85,100.35,NA,NA,NA,NA
0711002C,6,7,1993,2,2,64.63,34.7,24.37,NA,NA,18,-1.31,2,1
0711003C,8,2,1993,1,2,62.77,26.44,15.89,NA,NA,20,0.48,2,2
0711004C,8,29,1993,1,2,61.87,30.75,19.96,NA,NA,20,-0.06,1,1
0711005C,5,18,1993,2,2,65.3,45.02,30.78,NA,NA,22,0.77,2,2
0711006C,1,19,1993,1,2,69.27,32.2,29.0,159.34,108.94,25,0.15,1,2
0711007C,1,13,1993,2,2,69.47,31.7,24.39,NA,NA,34,-0.57,1,1
0711008C,5,2,1993,2,2,65.83,28.88,12.33,NA,NA,21,-0.53,1,1
0711009C,10,31,1992,2,2,71.93,38.35,25.23,NA,NA,38,0.16,2,2
0711010C,9,4,1992,2,2,73.83,30.19,23.0,NA,NA,NA,NA,NA,NA
0711011C,8,10,1993,2,2,62.57,48.87,24.89,145.98,98.23,19,-0.16,2,2
0711012C,10,15,1992,2,3,72.47,39.1,30.11,125.93,69.4,35,1.01,2,2
0711013C,4,29,1993,2,2,65.93,38.56,25.26,NA,NA,NA,-0.35,NA,NA
0711014C,4,17,1993,1,2,66.33,25.4,27.08,NA,NA,15,-0.5,1,1
0711015C,7,28,1993,1,4,62.93,46.49,31.48,146.56,103.42,22,1.01,2,2
0711016C,5,2,1993,2,2,-9.0,NA,NA,NA,NA,21,-0.53,1,1
0712001C,6,26,1993,1,5,65.53,-1.0,-1.0,140.75,117.4,28,0.96,2,2
0712002C,10,20,1992,2,5,73.83,46.28,40.75,165.69,142.52,22,0.69,2,1
0712003C,1,7,1993,2,4,71.2,-1.0,19.77,151.59,65.41,30,-1.03,2,2
0712004C,6,29,1993,1,4,65.4,-1.0,21.46,NA,NA,16,-0.12,2,2
0712005C,12,16,1992,2,4,71.93,-1.0,-9.0,NA,NA,-9,-0.6,2,2
0712006C,5,15,1993,2,3,-9.0,NA,NA,NA,NA,24,-0.52,2,2
0712007C,2,24,1993,1,3,69.6,-1.0,-1.0,88.55,53.17,22,-0.65,2,2
0712008C,7,2,1993,1,3,65.3,-1.0,18.75,126.32,129.53,29,0.72,2,2
0712009C,1,14,1993,1,3,-9.0,NA,NA,NA,NA,25,-0.54,-9,-9
0712010C,3,21,1993,2,3,68.73,-1.0,19.69,122.35,86.88,23,0.11,2,2
0712011C,7,23,1993,1,3,-9.0,NA,NA,106.03,119.97,NA,-0.16,NA,NA
0712012C,9,24,1992,2,3,74.7,-1.0,19.44,131.35,123.58,26,-0.86,1,1
0712013C,2,12,1993,1,1,69.97,38.04,27.95,124.44,99.5,28,-0.18,2,2
0712014C,3,14,1993,1,3,69.23,47.39,26.69,161.19,126.31,20,-0.6,2,2
0712015C,3,18,1993,2,4,68.87,-1.0,22.87,126.99,89.15,33,-0.22,2,2
0712016C,10,6,1992,1,4,74.3,-1.0,25.83,153.59,107.51,20,0.16,2,2
0712017C,9,17,1992,2,3,74.93,25.0,20.87,148.81,104.82,22,0.29,2,2
0712018C,3,19,1993,2,8,68.8,34.6,22.73,NA,NA,22,0.0,2,1
0712019C,2,20,1993,2,2,69.7,41.66,30.45,146.61,105.89,18,0.15,1,1
0712020C,11,6,1992,1,4,73.5,29.36,21.67,NA,NA,17,-0.09,2,2
0712021C,11,16,1992,2,4,72.93,30.06,23.77,125.34,91.88,25,-0.14,2,2
0712022C,12,23,1992,2,4,71.7,39.56,27.81,127.47,87.28,15,-0.79,1,1
0712023C,5,4,1993,2,1,67.27,34.15,24.27,117.87,80.39,23,-0.07,1,1
0712024C,1,14,1993,2,4,70.93,42.87,22.54,124.67,84.22,27,-0.13,2,2
0712025C,2,20,1993,1,2,69.7,31.85,18.1,102.38,76.09,18,0.15,1,1
0712040C,9,12,1992,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
0712041C,8,11,1993,1,3,NA,NA,NA,76.1,76.83,NA,NA,NA,NA
0712042C,5,3,1992,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0712043C,7,30,1993,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
0713001C,6,16,1993,2,2,64.57,32.42,23.54,126.82,88.57,21,-0.32,1,1
0713002C,3,25,1993,2,8,67.33,34.23,23.75,127.88,94.25,19,-0.14,2,2
0713003C,8,15,1993,2,3,62.57,36.38,20.97,105.56,89.1,30,1.11,2,2
0713004C,8,6,1993,1,8,62.87,34.09,33.42,123.78,116.99,31,0.42,2,2
0713005C,5,13,1993,2,3,65.7,29.01,19.06,NA,NA,-9,-0.37,-9,-9
0713007C,9,9,1992,1,3,73.93,31.61,25.77,134.56,113.83,32,0.29,2,2
0713008C,2,3,1993,1,4,69.0,35.44,33.67,129.45,134.53,24,1.03,2,2
0713009C,5,7,1993,2,3,65.9,-9.0,27.0,165.05,105.71,21,-0.25,2,2
0713010C,9,22,1992,1,3,73.57,30.8,30.8,NA,NA,NA,0.38,NA,NA
0713011C,9,4,1992,2,3,74.1,45.68,29.39,179.44,116.81,27,0.75,2,2
0713012C,10,11,1992,1,3,72.83,38.24,35.16,186.93,133.29,33,0.53,2,2
0713013C,2,25,1993,1,3,68.27,24.94,27.68,127.95,117.21,29,1.31,2,2
0713014C,7,13,1993,2,3,63.7,35.13,21.44,140.86,124.38,30,0.87,2,2
0713015C,4,30,1993,1,3,66.13,34.57,30.92,150.84,121.48,32,0.69,2,2
0713016C,2,25,1993,2,3,68.27,40.91,35.94,156.38,138.52,35,0.83,2,2
0713017C,5,5,1993,2,3,65.3,-1.0,21.25,NA,NA,26,0.78,2,2
0713018C,12,29,1992,1,3,70.23,26.32,35.8,NA,NA,28,0.46,2,2
0713019C,5,12,1993,1,3,65.77,36.64,22.46,146.74,117.56,26,1.12,2,2
0713020C,5,10,1993,2,3,65.8,42.03,28.43,NA,NA,30,-0.07,2,2
0713021C,11,16,1992,2,1,71.63,38.29,29.4,NA,NA,30,0.73,2,2
0713022C,3,29,1992,1,3,67.2,23.19,31.2,NA,NA,27,1.98,2,2
0713023C,9,14,1992,2,3,73.83,33.45,32.16,119.99,110.27,26,0.66,2,2
0713024C,8,2,1992,1,3,75.27,43.31,34.83,124.99,90.06,24,-0.14,2,2
0714001C,11,25,1992,2,5,71.9,47.51,24.85,153.22,85.39,22,0.15,1,2
0714002C,2,20,1992,2,5,-9.0,NA,NA,NA,NA,26,0.16,2,2
0714003C,2,20,1993,2,3,69.0,-1.0,22.14,NA,NA,20,0.16,1,1
0714004C,9,15,1992,2,3,74.27,25.64,17.45,82.03,92.74,20,0.66,2,2
0714005C,8,27,1993,1,3,62.73,-1.0,15.04,68.91,62.22,33,0.44,1,1
0714006C,2,4,1993,1,3,69.53,-1.0,19.04,145.43,103.67,19,-0.08,2,2
0714008C,7,28,1993,2,3,-9.0,NA,NA,NA,NA,26,0.74,2,2
0714009C,12,6,1992,2,2,-9.0,NA,NA,NA,NA,29,-0.02,2,2
0714010C,10,15,1992,2,2,-9.0,NA,NA,NA,NA,25,0.06,2,2
0714012C,5,31,1993,1,3,65.67,35.67,22.93,NA,NA,28,-0.12,2,2
0714013C,11,9,1992,1,1,72.67,43.0,34.16,NA,NA,19,0.63,2,2
0714014C,11,2,1992,2,4,72.67,26.93,17.77,161.17,101.28,27,0.29,1,1
0714015C,12,8,1992,2,4,71.7,47.76,26.61,NA,NA,26,1.19,2,2
0714016C,1,7,1993,2,4,70.7,49.04,46.65,163.58,143.32,31,0.5,1,1
0714017C,6,23,1993,1,4,64.9,36.25,18.42,NA,NA,30,1.02,2,2
0714018C,9,3,1992,2,1,74.9,40.23,38.51,162.15,126.95,25,0.82,2,2
0714019C,7,11,1993,1,1,64.3,29.21,20.93,NA,NA,21,-0.03,2,2
0714020C,8,20,1993,2,2,63.2,30.92,30.55,NA,NA,22,-0.4,2,2
0714021C,11,16,1992,1,3,73.3,30.67,22.74,134.1,129.78,28,0.04,2,2
0714022C,11,6,1992,1,2,72.53,35.22,34.95,NA,NA,-9,1.92,1,1
0714023C,3,15,1993,2,3,68.47,36.66,25.7,150.49,125.13,23,1.56,2,2
0714024C,8,4,1993,1,3,63.73,25.64,22.9,NA,NA,19,-1.0,1,1
0717001C,12,2,1992,1,8,72.03,37.7,25.06,147.99,123.53,26,1.18,2,2
0717002C,10,4,1992,2,5,74.0,87.26,45.24,179.81,149.33,26,2.13,2,2
0717003C,10,23,1992,1,1,73.23,50.02,40.73,179.65,133.09,25,0.13,2,2
0717004C,1,7,1993,2,1,70.7,46.26,26.04,NA,NA,25,1.01,2,2
0717005C,4,7,1993,1,1,67.7,36.06,29.13,142.41,104.24,27,0.36,2,2
0717006C,7,30,1993,2,4,63.9,44.71,26.43,176.37,134.02,22,0.61,2,2
0717007C,2,2,1993,2,1,69.83,48.72,29.24,NA,NA,26,1.22,2,2
0717008C,8,14,1993,1,1,63.4,33.71,23.97,127.09,106.48,28,0.52,2,2
0717009C,11,16,1992,1,1,72.43,35.8,32.63,143.85,128.41,29,0.48,2,2
0717010C,8,2,1993,1,1,63.8,38.18,35.23,159.57,153.39,29,0.91,2,2
0717011C,12,20,1992,2,1,71.3,53.52,43.0,179.95,149.9,27,0.53,2,2
0717012C,4,19,1993,2,3,67.3,42.08,29.05,NA,NA,28,1.23,2,2
0717013C,2,23,1993,2,1,69.13,45.65,37.06,134.05,118.75,34,0.9,2,2
0717014C,7,21,1993,2,1,64.2,26.55,16.89,127.44,125.03,27,0.52,2,2
0717015C,3,17,1993,2,1,68.4,37.31,26.83,155.0,113.07,31,1.11,2,2
0717016C,1,20,1993,1,1,-9.0,NA,NA,108.79,106.99,NA,1.58,NA,NA
0717017C,4,8,1993,1,1,67.8,39.28,30.29,134.05,103.95,23,0.5,2,2
0717018C,5,20,1993,2,1,66.4,25.48,19.67,121.64,105.51,30,-0.39,2,2
0717019C,2,23,1993,2,1,69.27,36.38,24.01,164.81,129.69,23,1.13,2,2
0717020C,9,10,1992,2,1,74.67,90.96,57.77,169.71,120.58,-1,1.45,2,2
0717021C,3,29,1993,1,1,68.13,32.81,21.13,76.33,63.72,22,0.48,2,2
0717022C,10,9,1992,1,1,75.27,56.75,44.19,NA,NA,-1,-0.01,-1,2
0717023C,3,3,1993,1,1,69.0,33.86,20.62,106.86,94.54,37,0.64,2,2
0717024C,5,20,1993,2,1,66.4,77.05,34.33,138.07,140.74,32,1.32,2,2
0718001C,7,30,1993,2,5,64.53,56.12,41.24,158.68,148.75,23,1.3,2,2
0718002C,11,7,1992,2,8,73.33,55.09,46.14,NA,NA,-1,0.05,-8,-8
0718003C,4,21,1993,2,5,67.83,47.51,36.35,145.53,133.0,27,0.69,2,2
0718004C,10,28,1992,1,5,73.7,-1.0,-1.0,NA,NA,32,0.61,2,2
0718005C,11,11,1992,1,3,73.23,51.02,36.09,154.35,126.12,34,1.1,2,2
0718007C,4,29,1993,1,1,67.57,35.83,34.14,137.29,135.02,27,0.29,2,2
0718008C,1,4,1993,2,3,71.43,-1.0,22.65,90.44,88.16,30,0.05,2,2
0718009C,5,19,1993,1,4,66.9,35.04,27.31,125.44,116.77,21,0.75,2,2
0718010C,5,27,1993,1,3,66.63,67.66,35.99,138.06,106.31,30,0.66,2,2
0718011C,9,20,1992,2,1,74.93,45.68,32.03,107.72,109.9,21,0.42,2,2
0718012C,10,28,1992,1,1,73.67,59.17,47.81,162.75,154.9,28,0.97,2,2
0718014C,11,18,1992,1,1,72.97,36.62,47.03,135.88,126.85,29,0.59,2,2
0718015C,6,24,1993,1,1,65.7,25.42,16.8,77.41,60.42,24,-0.02,2,2
0718016C,10,21,1992,2,1,73.9,51.81,44.4,165.53,129.82,38,0.75,2,2
0718017C,10,9,1992,1,1,74.3,52.05,55.91,169.41,158.17,34,1.32,2,2
0718018C,3,21,1993,2,1,69.9,46.29,29.92,142.97,84.55,30,-0.61,2,1
0718019C,6,14,1993,2,3,66.03,29.26,19.83,NA,NA,26,0.0,2,2
0718020C,11,19,1992,1,3,72.97,-1.0,44.51,NA,NA,21,-0.15,2,2
0718021C,2,15,1993,2,1,70.0,33.5,19.59,NA,NA,23,-0.58,2,2
0718022C,7,28,1993,1,3,64.57,-1.0,17.85,142.01,99.87,31,0.59,2,2
0718023C,3,5,1993,2,1,69.4,44.34,34.69,147.62,118.2,-1,0.4,-1,2
0718024C,11,17,1992,2,3,73.03,43.39,31.21,NA,NA,30,1.09,2,2
0718040C,4,2,1993,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
0718041C,11,21,1992,2,3,NA,NA,NA,148.82,125.86,NA,NA,NA,NA
0718042C,8,14,1992,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
0718043C,3,5,1993,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
0723001C,12,25,1992,2,5,70.83,42.3,26.0,125.32,91.52,23,0.17,1,2
0723002C,6,9,1993,2,8,65.3,38.1,26.6,123.1,99.79,26,0.3,2,2
0723003C,2,2,1993,1,1,69.53,31.67,30.42,NA,NA,24,0.65,2,2
0723004C,5,25,1993,2,3,65.77,38.72,36.72,-9.0,115.57,-1,-0.47,1,1
0723005C,7,24,1992,1,1,75.93,47.49,46.52,164.09,136.87,26,0.53,2,2
0723006C,2,5,1993,1,1,69.43,29.22,22.22,NA,NA,23,0.48,2,2
0723007C,5,14,1992,1,4,78.33,32.78,20.5,NA,NA,-1,2.52,-1,2
0723008C,11,23,1992,2,1,71.87,35.67,35.14,155.83,131.9,36,-0.9,1,1
0723009C,6,20,1993,2,1,64.9,34.27,24.0,NA,NA,27,0.77,2,2
0723010C,10,31,1992,1,1,72.63,35.07,27.84,NA,NA,19,0.96,1,1
0723011C,7,25,1993,1,1,63.77,24.87,24.27,NA,NA,25,0.1,1,2
0723013C,1,28,1993,2,1,69.67,34.39,24.9,NA,NA,18,0.91,2,2
0723014C,9,8,1992,1,1,74.4,30.42,33.24,115.62,90.71,25,-0.3,2,2
0723016C,12,29,1992,1,1,70.67,48.83,29.5,148.39,123.93,24,0.52,2,2
0723017C,1,22,1993,1,1,69.87,41.96,35.24,107.72,110.88,30,-0.89,2,2
0723018C,5,12,1993,2,3,66.23,26.52,28.6,NA,NA,23,0.97,2,2
0723019C,8,11,1993,1,8,63.2,37.18,37.92,NA,NA,33,-1.62,2,2
0723020C,9,1,1993,1,1,62.47,51.99,32.66,151.55,116.63,25,0.32,2,1
0723021C,7,5,1993,2,1,64.4,38.56,27.72,NA,NA,28,1.91,2,2
0723022C,1,28,1993,1,1,69.7,44.46,30.37,NA,NA,26,0.57,2,2
0723023C,3,28,1993,1,1,67.7,35.33,29.77,NA,NA,24,0.34,1,1
0723024C,10,12,1992,1,1,73.27,33.57,26.48,NA,NA,-1,-0.86,-1,2
0728001C,2,11,1993,2,4,68.77,28.02,13.07,NA,NA,-1,-0.3,2,2
0728002C,1,30,1993,2,1,69.13,28.78,27.91,126.49,73.73,24,-0.03,1,1
0728003C,11,9,1992,2,1,71.87,35.02,29.03,140.38,70.24,-1,-0.08,2,2
0728004C,9,16,1992,1,1,73.67,32.31,24.6,135.75,116.39,27,0.7,2,2
0728005C,4,10,1993,1,1,66.83,28.57,17.85,104.29,99.76,19,-0.68,1,1
0728006C,4,22,1993,1,1,66.43,27.97,21.21,84.44,81.88,32,0.76,2,2
0728007C,10,24,1992,2,1,72.4,34.57,24.73,115.19,81.02,26,0.4,2,2
0728008C,7,6,1993,1,1,63.9,28.65,19.25,NA,NA,19,-0.31,1,1
0728009C,3,17,1993,1,1,67.6,25.66,13.8,106.38,68.74,22,-0.37,1,1
0728010C,5,19,1993,2,1,65.5,30.46,18.42,106.09,51.44,-1,-0.05,-1,1
0728011C,1,9,1993,1,1,69.83,37.0,26.6,106.08,77.46,19,-0.05,1,1
0728012C,2,11,1993,2,3,68.73,25.57,11.1,NA,NA,30,-1.71,1,1
0728013C,7,30,1993,1,1,63.1,32.33,30.82,105.97,109.47,28,-0.38,1,1
0728014C,4,21,1993,2,1,66.47,28.04,17.6,100.15,51.79,22,-0.48,1,1
0728015C,8,24,1992,1,1,74.43,28.45,20.95,NA,NA,19,-0.62,1,1
0728016C,7,20,1993,1,1,63.43,24.69,16.15,151.11,103.86,23,-0.04,2,2
0728017C,6,8,1993,1,1,64.83,30.02,26.39,101.98,88.92,19,-0.12,1,1
0728018C,8,4,1993,1,1,62.93,32.96,24.38,129.74,111.55,21,-0.4,2,2
0728019C,9,6,1992,1,3,NA,NA,NA,NA,NA,NA,0.25,NA,NA
0728020C,5,4,1993,1,1,66.03,33.46,18.72,NA,NA,22,-0.63,1,1
0728021C,7,19,1993,2,1,63.47,38.87,27.59,NA,NA,21,-0.44,1,1
0728022C,5,10,1993,1,1,65.83,22.37,13.33,90.8,50.61,19,-0.79,1,1
0728023C,1,18,1993,2,1,69.53,31.33,21.79,143.75,78.64,18,-0.24,1,1
0728024C,4,25,1993,2,1,66.3,25.73,11.88,108.89,67.08,19,-0.84,1,1
0729001C,2,2,1993,1,5,69.53,43.18,42.8,170.33,131.09,22,-0.72,2,2
0729002C,6,17,1993,2,1,65.03,39.63,24.22,NA,NA,23,0.41,1,1
0729003C,3,2,1993,2,2,68.6,31.72,19.58,90.94,88.49,20,-0.5,1,1
0729004C,6,17,1993,1,1,65.03,30.51,17.4,NA,NA,21,-0.39,1,1
0729005C,6,8,1993,1,1,65.33,25.24,14.49,NA,NA,19,-0.74,1,1
0729006C,9,17,1992,1,1,74.13,28.71,23.73,147.07,75.74,27,1.51,2,2
0729007C,6,22,1993,2,1,64.87,44.76,33.85,127.14,125.93,26,0.64,2,2
0729008C,9,2,1992,1,8,74.63,39.3,21.57,103.23,76.02,19,-0.55,1,1
0729009C,6,30,1993,2,1,64.6,30.6,21.04,125.71,88.48,41,0.84,2,2
0729010C,1,20,1993,1,1,69.97,33.27,26.86,170.91,123.91,16,-0.75,1,1
0729011C,10,18,1992,1,1,73.13,26.02,17.95,NA,NA,18,-0.23,2,2
0729012C,2,17,1993,1,1,69.03,34.46,22.42,122.71,61.13,27,1.57,2,2
0729013C,12,2,1992,1,2,71.6,38.59,19.49,126.5,88.24,25,1.04,2,2
0729014C,2,4,1993,1,1,69.47,45.92,37.54,NA,NA,15,-0.07,1,1
0729015C,8,14,1993,1,1,63.1,56.05,40.49,155.91,104.85,28,1.33,2,2
0729016C,2,2,1993,1,2,69.53,26.77,18.01,NA,NA,-1,-0.6,2,2
0729017C,12,23,1992,2,1,70.93,39.56,24.16,NA,NA,17,0.09,1,1
0729018C,11,30,1992,1,1,71.67,37.96,43.14,168.65,145.43,29,0.43,2,2
0729019C,7,12,1992,1,1,76.37,44.28,28.63,NA,NA,26,1.04,2,2
0729020C,12,29,1992,1,8,70.73,27.9,30.44,123.97,84.69,21,-0.21,1,1
0729021C,3,5,1993,1,1,68.53,51.37,36.26,168.23,132.25,28,2.04,2,2
0729022C,4,8,1993,2,1,67.37,28.99,18.18,73.79,76.93,19,-0.5,1,1
0729023C,3,1,1993,1,2,68.67,35.21,33.28,132.23,132.52,28,-0.13,1,2
0729024C,1,11,1992,1,8,79.0,39.47,21.15,84.35,67.31,25,-0.19,2,1
0729040C,9,25,1992,2,1,NA,NA,NA,89.99,54.6,NA,NA,NA,NA
0731001C,9,2,1993,2,1,63.13,28.73,23.21,NA,NA,33,-4.18,1,1
0731002C,1,15,1993,1,2,70.8,30.76,28.57,NA,NA,-1,-0.59,-8,-8
0731003C,11,21,1992,2,1,72.63,44.54,37.19,168.28,110.93,21,-0.13,2,1
0731004C,1,10,1993,2,2,70.97,26.76,13.64,127.21,91.72,19,-0.28,1,1
0731005C,5,8,1993,2,1,67.03,24.14,12.23,104.73,65.95,14,-0.76,1,1
0731006C,6,17,1993,1,3,65.7,37.05,22.41,104.9,116.28,23,-0.93,1,1
0731007C,4,27,1993,1,1,67.4,25.05,19.8,64.1,54.06,-1,-0.47,1,1
0731008C,6,24,1993,1,2,65.5,24.67,12.22,NA,NA,18,-1.29,1,1
0731009C,1,27,1993,1,1,70.4,22.72,16.22,63.59,59.37,21,-0.95,1,1
0731010C,1,7,1993,2,2,71.07,33.19,28.67,88.82,73.31,17,-4.47,1,1
0731011C,9,30,1993,1,2,62.2,22.68,14.35,105.67,81.9,15,-0.97,1,1
0731012C,9,3,1993,2,2,63.1,28.83,17.09,NA,NA,18,-0.81,1,1
0731013C,5,16,1993,2,2,66.87,44.09,23.54,NA,NA,16,-0.74,1,1
0731014C,2,2,1993,1,7,-9.0,NA,NA,NA,NA,16,-1.0,1,1
0731015C,1,12,1993,2,1,70.9,25.09,16.31,NA,NA,17,-0.77,1,1
0731016C,6,10,1993,1,1,65.93,28.61,13.15,85.89,74.66,18,-0.79,2,2
0731017C,9,26,1993,2,2,62.33,32.01,26.74,148.11,110.51,21,-0.26,1,1
0731018C,12,14,1992,2,1,71.87,23.35,21.5,105.38,104.03,16,-0.44,1,1
0731019C,9,26,1992,1,2,74.5,37.84,24.16,85.48,88.87,16,-0.93,1,1
0731020C,9,7,1993,1,1,62.97,25.06,14.16,105.54,66.82,17,-0.63,1,1
0731021C,7,20,1993,2,2,NA,NA,NA,NA,NA,NA,-0.9,NA,NA
0731022C,7,22,1993,2,2,64.53,33.75,19.4,154.57,114.13,20,-1.56,1,1
0731023C,11,13,1992,2,2,72.9,25.55,15.36,109.13,67.43,18,-0.82,1,1
0731024C,8,8,1992,1,1,76.13,37.7,26.95,NA,NA,20,-0.73,1,1
0731040C,12,11,1992,2,2,NA,NA,NA,106.08,91.14,NA,NA,NA,NA
0732001C,7,4,1993,2,1,NA,NA,NA,94.8,76.84,NA,-0.54,NA,NA
0732003C,9,4,1993,1,1,NA,NA,NA,NA,NA,NA,-0.17,NA,NA
0732004C,3,27,1993,1,1,NA,NA,NA,108.82,116.19,NA,-0.51,NA,NA
0732007C,1,19,1993,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0732009C,11,14,1992,1,3,NA,NA,NA,NA,NA,NA,-0.38,NA,NA
0732010C,4,8,1993,1,1,NA,NA,NA,158.88,113.91,NA,-1.0,NA,NA
0732011C,1,13,1993,1,1,NA,NA,NA,NA,NA,NA,-0.89,NA,NA
0732012C,2,15,1993,1,1,NA,NA,NA,80.39,69.93,NA,-1.18,NA,NA
0732013C,5,1,1993,1,1,NA,NA,NA,114.02,86.83,NA,-0.51,NA,NA
0732014C,12,22,1992,2,1,NA,NA,NA,57.29,65.68,NA,-0.86,NA,NA
0732015C,6,28,1993,1,1,NA,NA,NA,164.27,130.29,NA,0.14,NA,NA
0732016C,10,28,1992,2,1,NA,NA,NA,148.32,119.82,NA,-0.32,NA,NA
0732018C,12,4,1992,2,1,NA,NA,NA,NA,NA,NA,-4.47,NA,NA
0732019C,10,3,1992,1,1,NA,NA,NA,147.62,145.36,NA,-0.26,NA,NA
0732020C,8,7,1993,1,1,NA,NA,NA,151.2,111.52,NA,0.01,NA,NA
0732021C,2,11,1993,2,2,NA,NA,NA,103.4,65.34,NA,0.51,NA,NA
0732022C,10,11,1992,1,1,NA,NA,NA,128.8,114.37,NA,-0.75,NA,NA
0732023C,8,24,1992,1,1,NA,NA,NA,88.96,61.8,NA,-0.46,NA,NA
0732024C,10,12,1992,1,1,NA,NA,NA,154.93,108.23,NA,-0.47,NA,NA
0732040C,12,8,1991,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0732041C,7,15,1992,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0732042C,3,6,1992,2,1,NA,NA,NA,126.55,104.32,NA,NA,NA,NA
0732043C,9,13,1992,2,1,NA,NA,NA,145.37,108.0,NA,NA,NA,NA
0732044C,8,28,1992,1,1,NA,NA,NA,125.44,93.01,NA,NA,NA,NA
0732048C,9,7,1992,2,1,NA,NA,NA,119.33,104.68,NA,NA,NA,NA
0732051C,6,22,1992,2,1,NA,NA,NA,175.78,128.15,NA,NA,NA,NA
0733001C,10,3,1992,2,1,NA,NA,NA,168.49,136.44,NA,0.21,NA,NA
0733002C,1,19,1993,1,1,NA,NA,NA,127.14,107.09,NA,0.78,NA,NA
0733003C,5,24,1993,1,1,NA,NA,NA,NA,NA,NA,0.41,NA,NA
0733004C,10,12,1992,2,1,NA,NA,NA,147.79,117.29,NA,-0.12,NA,NA
0733005C,2,8,1993,1,1,NA,NA,NA,148.39,128.26,NA,0.5,NA,NA
